,connector,relation,is_pair,counterpart
0,aber,"['comparison.concession', 'comparison.concession', 'comparison.contrast', 'expansion.conjunction']",False,
0,abgesehen davon,"['expansion.conjunction', 'expansion.exception', 'comparison.concession', 'comparison.concession']",False,
0,"abgesehen davon , daß","['expansion.conjunction', 'expansion.exception']",True,"abgesehen davon , dass"
0,"abgesehen davon , dass","['expansion.conjunction', 'expansion.exception']",True,"abgesehen davon , daß"
0,alldieweil,"['contingency.cause', 'comparison.contrast', 'temporal.synchronous']",False,
0,allein,['comparison.contrast'],False,
0,allenfalls,"['expansion.instantiation', 'comparison.contrast']",False,
0,allerdings,"['comparison.contrast', 'comparison.concession', 'comparison.concession']",False,
0,als,"['temporal.synchronous', 'temporal.asynchronous']",False,
0,als ob,"['expansion.equivalence', 'comparison.concession']",False,
0,als wenn,['expansion.manner'],False,
0,alsdann,"['temporal.asynchronous', 'expansion.conjunction']",False,
0,also,['contingency.cause'],False,
0,andererseits,"['comparison.contrast', 'expansion.conjunction']",True,andrerseits
0,andrerseits,"['comparison.contrast', 'expansion.conjunction']",True,andererseits
0,anderenfalls,"['contingency.negative-condition', 'contingency.negative-condition']",True,andernfalls
0,andernfalls,"['contingency.negative-condition', 'contingency.negative-condition']",True,anderenfalls
0,anders gesagt,['expansion.equivalence'],False,
0,angenommen,['contingency.condition'],False,
0,"angenommen , dass","['expansion.manner', 'contingency.condition']",True,"angenommen , daß"
0,"angenommen , daß","['expansion.manner', 'contingency.condition']",True,"angenommen , dass"
0,angesichts,"['contingency.cause', 'temporal.synchronous', 'comparison.concession']",False,
0,angesichts dessen,['contingency.cause'],False,
0,"angesichts dessen , dass",['contingency.cause'],True,"angesichts dessen , daß"
0,"angesichts dessen , daß",['contingency.cause'],True,"angesichts dessen , dass"
0,an hand,['expansion.manner'],True,anhand
0,anhand,['expansion.manner'],True,an hand
0,anschließend,"['temporal.asynchronous', 'expansion.conjunction']",True,anschliessend
0,anschliessend,"['temporal.asynchronous', 'expansion.conjunction']",True,anschließend
0,ansonsten,"['expansion.exception', 'contingency.negative-condition']",False,
0,anstatt,"['expansion.substitution', 'expansion.substitution']",False,
0,anstatt dass,['expansion.substitution'],True,anstatt daß
0,anstatt daß,['expansion.substitution'],True,anstatt dass
0,an stelle dessen,['expansion.substitution'],True,anstelle dessen
0,anstelle dessen,['expansion.substitution'],True,an stelle dessen
0,auch,['expansion.conjunction'],False,
0,hin,"['contingency.cause', 'contingency.purpose']",True,auf
0,auf,"['contingency.cause', 'contingency.purpose']",True,hin
0,auf daß,['contingency.purpose'],True,auf dass
0,auf dass,['contingency.purpose'],True,auf daß
0,aufgrund,['contingency.cause'],True,auf grund
0,auf grund,['contingency.cause'],True,aufgrund
0,aufgrund dessen,"['contingency.cause', 'contingency.cause']",True,auf grund dessen
0,auf grund dessen,"['contingency.cause', 'contingency.cause']",True,aufgrund dessen
0,ausgenommen,['expansion.exception'],False,
0,"ausgenommen, daß",['expansion.exception'],True,"ausgenommen, dass"
0,"ausgenommen, dass",['expansion.exception'],True,"ausgenommen, daß"
0,außer,['expansion.exception'],True,ausser
0,ausser,['expansion.exception'],True,außer
0,außer dass,['expansion.exception'],True,ausser dass
0,ausser dass,['expansion.exception'],True,außer dass
0,ausser wenn,['expansion.exception'],True,außer wenn
0,außer wenn,['expansion.exception'],True,ausser wenn
