,connector,relation,is_pair,counterpart
0,once,"['contingency.condition', 'temporal.asynchronous', 'temporal.synchrony']",False,
0,although,"['comparison.contrast', 'expansion.exception', 'comparison', 'comparison.concession']",False,
0,though,"['comparison.contrast', 'comparison.concession', 'comparison']",False,
0,but,"['temporal.asynchronous', 'expansion.conjunction', 'comparison.contrast', 'expansion', 'expansion.exception', 'comparison.pragmatic concession', 'contingency.cause', 'comparison.concession', 'expansion.restatement', 'comparison.pragmatic contrast', 'comparison', 'expansion.alternative']",False,
0,because,"['contingency.pragmatic cause', 'contingency.pragmatic condition', 'contingency.cause']",False,
0,nevertheless,"['comparison.pragmatic concession', 'comparison.contrast', 'comparison.concession', 'comparison']",False,
0,before,['temporal.asynchronous'],False,
0,for example,"['expansion.restatement', 'expansion.instantiation']",False,
0,until,"['contingency.condition', 'temporal.asynchronous', 'expansion.alternative', 'temporal.synchrony']",False,
0,if,"['contingency.pragmatic condition', 'comparison.contrast', 'contingency.condition', 'contingency.cause', 'comparison.concession', 'expansion.restatement', 'comparison.pragmatic contrast', 'comparison']",False,
0,previously,"['comparison.contrast', 'temporal.asynchronous']",False,
0,when,"['contingency.pragmatic condition', 'temporal.asynchronous', 'temporal', 'comparison.contrast', 'contingency.condition', 'contingency.cause', 'comparison.concession', 'contingency', 'temporal.synchrony', 'expansion.alternative']",False,
0,and,"['expansion.instantiation', 'temporal.asynchronous', 'expansion.conjunction', 'comparison.contrast', 'expansion', 'contingency.condition', 'expansion.list', 'contingency.cause', 'comparison.concession', 'expansion.restatement']",False,
0,so,['contingency.cause'],False,
0,then,"['temporal.asynchronous', 'expansion.conjunction', 'comparison.contrast', 'contingency.condition', 'contingency.cause', 'expansion.list', 'comparison.concession', 'temporal.synchrony', 'comparison', 'expansion.alternative']",False,
0,while,"['expansion.conjunction', 'comparison.contrast', 'expansion.list', 'comparison.concession', 'temporal.synchrony', 'comparison']",False,
0,as long as,"['contingency.condition', 'temporal.synchrony']",False,
0,however,"['expansion.conjunction', 'comparison.contrast', 'comparison.pragmatic concession', 'comparison.concession', 'comparison.pragmatic contrast', 'comparison']",False,
0,also,"['expansion.conjunction', 'expansion.restatement', 'expansion.list', 'temporal.synchrony']",False,
0,after,"['comparison.concession', 'temporal.asynchronous']",False,
0,separately,"['expansion.conjunction', 'expansion.alternative', 'expansion.list']",False,
0,still,"['temporal.asynchronous', 'comparison.contrast', 'comparison.concession', 'temporal.synchrony', 'comparison']",False,
0,so that,['contingency.cause'],False,
0,or,"['contingency.pragmatic condition', 'expansion.conjunction', 'comparison.contrast', 'expansion', 'expansion.restatement', 'expansion.alternative']",False,
0,moreover,"['expansion.conjunction', 'expansion.list']",False,
0,in addition,['expansion.conjunction'],False,
0,instead,"['comparison.contrast', 'expansion.alternative']",False,
0,on the other hand,"['expansion.conjunction', 'comparison.contrast', 'comparison']",False,
0,as,"['temporal.asynchronous', 'expansion.conjunction', 'comparison.contrast', 'expansion', 'contingency.cause', 'comparison.concession', 'temporal.synchrony', 'contingency.pragmatic cause', 'comparison']",False,
0,for instance,['expansion.instantiation'],False,
0,nonetheless,"['expansion.conjunction', 'comparison.contrast', 'comparison.concession', 'comparison']",False,
0,unless,"['contingency.condition', 'expansion.alternative']",False,
0,meanwhile,"['expansion.conjunction', 'comparison.contrast', 'comparison.concession', 'temporal.synchrony']",False,
0,yet,"['expansion.conjunction', 'comparison.contrast', 'comparison.concession', 'comparison']",False,
0,since,"['temporal.asynchronous', 'contingency.cause', 'temporal.synchrony']",False,
0,rather,"['expansion.restatement', 'comparison.contrast', 'expansion.alternative']",False,
0,in fact,"['expansion.instantiation', 'expansion.conjunction', 'comparison.contrast', 'expansion', 'expansion.restatement', 'comparison']",False,
0,indeed,"['expansion.instantiation', 'expansion.conjunction', 'expansion', 'contingency.pragmatic cause', 'expansion.restatement', 'comparison']",False,
0,later,"['expansion.conjunction', 'temporal.asynchronous']",False,
0,ultimately,"['expansion.conjunction', 'expansion.restatement', 'expansion', 'temporal.asynchronous']",False,
0,as a result,['contingency.cause'],False,
0,or,['expansion.alternative'],True,either
0,either,['expansion.alternative'],True,or
0,therefore,['contingency.cause'],False,
0,in turn,"['expansion.conjunction', 'expansion.restatement', 'temporal.asynchronous', 'contingency.cause']",False,
0,thus,['contingency.cause'],False,
0,in particular,"['expansion.restatement', 'expansion.instantiation']",False,
0,further,['expansion.conjunction'],False,
0,afterward,['temporal.asynchronous'],False,
0,afterwards,['temporal.asynchronous'],False,
0,next,"['expansion.conjunction', 'temporal.asynchronous']",False,
0,similarly,['expansion.conjunction'],False,
0,besides,"['expansion.conjunction', 'comparison.contrast', 'expansion.alternative']",False,
0,if and when,['contingency.condition'],False,
0,nor,"['expansion.conjunction', 'comparison.contrast', 'expansion.alternative']",False,
0,alternatively,['expansion.alternative'],False,
0,whereas,['comparison.contrast'],False,
0,overall,"['expansion.conjunction', 'expansion.restatement']",False,
0,by comparison,"['comparison.contrast', 'comparison']",False,
0,till,['temporal.asynchronous'],False,
0,in contrast,['comparison.contrast'],False,
0,finally,"['expansion.conjunction', 'expansion', 'temporal.asynchronous', 'expansion.list']",False,
0,otherwise,"['expansion.exception', 'expansion.alternative']",False,
0,as if,"['comparison.pragmatic concession', 'expansion', 'comparison.concession']",False,
0,thereby,['contingency.cause'],False,
0,now that,"['temporal.asynchronous', 'contingency.cause', 'temporal.synchrony']",False,
0,before and after,['temporal.asynchronous'],False,
0,additionally,['expansion.conjunction'],False,
0,meantime,"['expansion.conjunction', 'temporal.asynchronous', 'temporal.synchrony']",False,
0,by contrast,['comparison.contrast'],False,
0,then,"['contingency.pragmatic condition', 'contingency.condition']",True,if
0,if,"['contingency.pragmatic condition', 'contingency.condition']",True,then
0,likewise,['expansion.conjunction'],False,
0,in the end,"['temporal.asynchronous', 'expansion.conjunction', 'comparison.contrast', 'expansion', 'contingency.cause', 'comparison.concession', 'expansion.restatement']",False,
0,regardless,['comparison.concession'],False,
0,thereafter,['temporal.asynchronous'],False,
0,earlier,"['comparison.contrast', 'temporal.asynchronous']",False,
0,in other words,['expansion.restatement'],False,
0,as soon as,"['temporal.asynchronous', 'temporal.synchrony']",False,
0,except,"['expansion.exception', 'expansion.alternative']",False,
0,in short,['expansion.restatement'],False,
0,nor,"['expansion.conjunction', 'comparison.contrast', 'expansion.alternative']",True,neither
0,neither,"['expansion.conjunction', 'comparison.contrast', 'expansion.alternative']",True,nor
0,furthermore,['expansion.conjunction'],False,
0,lest,"['contingency.condition', 'expansion.alternative']",False,
0,as though,"['expansion.restatement', 'comparison']",False,
0,specifically,"['expansion.conjunction', 'expansion.restatement']",False,
0,conversely,['comparison.contrast'],False,
0,consequently,['contingency.cause'],False,
0,as well,['expansion.conjunction'],False,
0,much as,"['expansion.restatement', 'comparison.concession', 'comparison', 'expansion.alternative']",False,
0,plus,['expansion.conjunction'],False,
0,hence,['contingency.cause'],False,
0,by then,"['temporal.asynchronous', 'temporal.synchrony']",False,
0,accordingly,['contingency.cause'],False,
0,on the contrary,['comparison.contrast'],False,
0,simultaneously,['temporal.synchrony'],False,
0,for,['contingency.cause'],False,
0,in sum,['expansion.restatement'],False,
0,when and if,['temporal.asynchronous'],False,
0,insofar as,['contingency.cause'],False,
0,else,['expansion.alternative'],False,
0,as an alternative,['expansion.alternative'],False,
0,on the other hand,['comparison.contrast'],True,on the one hand
0,on the one hand,['comparison.contrast'],True,on the other hand
0,because of,['contingency.cause'],False,
0,aside from,['expansion.conjunction'],False,
0,for one,['expansion.instantiation'],False,
0,whatever,['contingency'],False,
0,when/then,['contingency.conditon'],False,
0,at the time,['temporal.synchronous'],False,
0,in this way,['contingency.cause'],False,
0,even so,['comparison.concession'],False,
0,quite the contrary,['expansion.alternative'],False,
0,everytime,['temporal.synchronous'],False,
0,for one thing,['expansion.instantiation'],False,
0,despite,['comparison.concession'],False,
0,instead of,"['comparison.contrast', 'expansion.alternative']",False,
0,in case,['contingency.condition'],False,
0,without,"['expansion.conjunction', 'contingency.condition']",False,
0,even though,['comparison.concession'],False,
0,with,"['expansion.conjunction', 'expansion.restatement', 'contingency.cause']",False,
0,even if,['comparison.concession'],False,
0,by the way,"['expansion.conjunction', 'comparison.contrast']",False,
0,given that,"['contingency.pragmatic cause', 'contingency.condition', 'contingency.cause']",False,
0,in any event,"['expansion.conjunction', 'expansion.restatement']",False,
0,essentially,['expansion.instantiation'],False,
0,given,"['contingency.pragmatic cause', 'contingency.condition', 'contingency.cause']",False,
0,at that point,['temporal.synchronous'],False,
0,in essence,['expansion.conjunction'],False,
0,in response to,['contingency.cause'],False,
