,connector,relation,is_pair,counterpart
0,a causa di,['contingency.cause'],False,
0,a condizione che,['contingency.condition'],False,
0,a dire il vero,['comparison.concession'],False,
0,per la verità,['comparison.concession'],False,
0,a dire la verità,['comparison.concession'],False,
0,in verità,['comparison.concession'],False,
0,a dispetto di,['comparison.concession'],False,
0,a meno che,['contingency.negative-condition'],False,
0,a meno di,['contingency.negative-condition'],False,
0,a onor del vero,['comparison.concession'],False,
0,a tal fine,['contingency.purpose'],False,
0,ad esempio,['expansion.instantiation'],False,
0,per esempio,['expansion.instantiation'],False,
0,ad ogni modo,['comparison.concession'],False,
0,in ogni modo,['comparison.concession'],False,
0,affinché,['contingency.purpose'],False,
0,al che,"['temporal.asynchronous', 'contingency.cause']",False,
0,al contrario,"['comparison.contrast', 'comparison.concession']",False,
0,al massimo,['expansion.exception'],False,
0,al posto di,['expansion.substitution'],False,
0,alla fin fine,[],False,
0,alla fine,['temporal.asynchronous'],False,
0,allo scopo di,['contingency.purpose'],False,
0,con lo scopo di,['contingency.purpose'],False,
0,allo stesso modo,['comparison.similarity'],False,
0,allora,"['temporal.asynchronous', 'contingency.cause']",False,
0,altrimenti,['contingency.negative-condition'],False,
0,anche,"['expansion.conjunction', 'comparison.concession']",False,
0,anche se,['comparison.concession'],False,
0,anzi,['expansion.conjunction'],False,
0,anziché,['expansion.substitution'],False,
0,benché,['comparison.concession'],False,
0,bensì,['comparison.contrast'],False,
0,cioè,"['expansion.equivalence', 'reformulation']",False,
0,ciò nondimeno,['comparison.concession'],False,
0,cionondimeno,['comparison.concession'],False,
0,ciononostante,['comparison.concession'],False,
0,ciò nonostante,['comparison.concession'],False,
0,nonostante ciò,['comparison.concession'],False,
0,come,"['temporal.syncrony', 'addition']",False,
0,come conseguenza,"['temporal.asynchronous', 'contingency.cause']",False,
0,comunque,"['expansion.conjunction', 'comparison.concession']",False,
0,con ciò,['consequence'],False,
0,con questo,['consequence'],False,
0,con tutto questo,['comparison.concession'],False,
0,contrariamente a,['comparison.contrast'],False,
0,contuttociò,[],False,
0,così,['contingency.cause'],False,
0,così che,['contingency.cause'],False,
0,cosicché,['contingency.cause'],False,
0,da allora,"['temporal.asynchronous', 'contingency.cause']",False,
0,da ciò,['contingency.cause'],False,
0,da quando,['temporal.asynchronous'],False,
0,da ultimo,['temporal.asynchronous'],False,
0,da un canto,['comparison.contrast'],True,dall'altro
0,dall'altro,['comparison.contrast'],True,da un canto
0,da un lato,['comparison.contrast'],True,dall'altro lato
0,dall'altro lato,['comparison.contrast'],True,da un lato
0,da una parte,['comparison.contrast'],True,dall'altra parte
0,dall'altra parte,['comparison.contrast'],True,da una parte
0,da una parte,['comparison.contrast'],True,dall'altra
0,dall'altra,['comparison.contrast'],True,da una parte
0,da una parte,['comparison.contrast'],False,
0,dal momento che,['contingency.cause'],False,
0,d'altra parte,['contrast'],False,
0,d'altro lato,[],False,
0,del resto,['contingency.cause'],False,
0,di conseguenza,['contingency.cause'],False,
0,di fatto,[],False,
0,di modo che,['contingency.cause'],False,
0,in modo che,['contingency.cause'],False,
0,in modo da,['contingency.cause'],False,
0,dimodoché,['contingency.cause'],False,
0,dopo,['temporal.asynchronous'],False,
0,dopo di che,['temporal.asynchronous'],False,
0,dopodiché,['temporal.asynchronous'],False,
0,dopo di ciò,['temporal.asynchronous'],False,
0,dopotutto,[],False,
0,dunque,['contingency.cause'],False,
0,e,"['expansion.conjunction', 'temporal.asynchronous']",False,
0,ebbene,[],False,
0,eccetto,['expansion.exception'],False,
0,eppure,['comparison.concession'],False,
0,fatto sta che,[],False,
0,fin qui,['expansion.conjunction'],False,
0,fino a questo punto,['expansion.conjunction'],False,
0,frattanto,['temporal.syncrony'],False,
0,fuorché,['expansion.exception'],False,
0,giacché,['contingency.cause'],False,
0,in altre parole,['expansion.equivalence'],False,
0,in altri termini,['expansion.equivalence'],False,
0,in base a,['contingency.cause'],False,
0,in breve,['expansion.specification'],False,
0,in caso contrario,['contingency.negative-condition'],False,
0,in conclusione,['expansion.specification'],False,
0,in conseguenza di ciò,['contingency.cause'],False,
0,in definitiva,[],False,
0,in fin dei conti,[],False,
0,in luogo di,['expansion.substitution'],False,
0,in ogni caso,['expansion. conjunction'],False,
0,in più,['expansion.conjunction'],False,
0,in poche parole,['expansion.specification'],False,
0,in quanto,['contingency.cause'],False,
0,in quanto al resto,['expansion.exception'],False,
0,in realtà,['expansion.specification'],False,
0,in seguito,['temporal.asynchronous'],False,
0,in seguito a,"['contingency.cause', 'temporal.asynchronous']",False,
0,in seguito a ciò,"['temporal.asynchronous', 'contingency.cause']",False,
0,in sintesi,['expansion.specification'],False,
0,in sostanza,['expansion.specification'],False,
0,in ultima analisi,[],False,
0,difatti,['expansion.instantiation'],False,
0,infatti,['expansion.instantiation'],False,
0,infine,[],False,
0,innanzitutto,[],False,
0,innanzi tutto,[],False,
0,inoltre,['expansion.conjunction'],False,
0,insomma,['expansion.specification'],False,
0,intanto,['temporal.syncrony'],False,
0,invece,"['comparison.contrast', 'comparison.concession']",False,
0,invece che,['expansion.substitution'],False,
0,invece di,['expansion.substitution'],False,
0,invero,[],False,
0,ma,"['comparison.contrast', 'comparison.concession']",False,
0,malgrado,['comparison.concession'],False,
0,malgrado questo,['comparison.concession'],False,
0,malgrado ciò,['comparison.concession'],False,
0,mentre,"['temporal.syncrony', 'expansion.conjunction', 'comparison.contrast']",False,
0,né,['expansion.conjunction'],False,
0,né,['expansion. conjunction'],True,né
0,né,['expansion. conjunction'],True,né
0,nel contempo,['temporal.syncrony'],False,
0,nel frattempo,['temporal.syncrony'],False,
0,non appena,"['temporal.syncrony', 'contingency.condition']",False,
0,non prima di,['temporal.asynchronous'],False,
0,nondimeno,['comparison.concession'],False,
0,nonostante,['comparison.concession'],False,
0,non per tanto,[],False,
0,nonpertanto,[],False,
0,non pertanto,[],False,
0,o,"['expansion.disjunction', 'contingency.negative-condition']",False,
0,ogni volta che,['temporal.syncrony'],False,
0,oltre a questo,['expansion. conjunction'],False,
0,oltre a ciò,['expansion. conjunction'],False,
0,oltretutto,['expansion.conjunction'],False,
0,oppure,"['expansion.disjunction', 'contingency.negative-condition']",False,
0,ossia,['expansion.equivalence'],False,
0,parimenti,['comparison.similarity'],False,
0,per,"['contingency.cause', 'contingency.purpose']",False,
0,per contro,"['comparison.concession', 'comparison.contrast']",False,
0,per cui,['contingency.cause'],False,
0,per di più,['expansion.conjunction'],False,
0,per giunta,['expansion.conjunction'],False,
0,per il fatto che,['contingency.cause'],False,
0,per il resto,['expansion.exception'],False,
0,per la qual cosa,[],False,
0,o meglio,[],False,
0,per meglio dire,[],False,
0,per poco che,[],False,
0,per prima cosa,[],False,
0,per quanto,"['contingency.condition', 'comparison.concession']",False,
0,per questa ragione,['ccontingency.cause'],False,
0,per questo,['contingency.cause'],False,
0,per questo motivo,['contingency.cause'],False,
0,per altro,[],False,
0,peraltro,[],False,
0,perché,['contingency.cause'],False,
0,perciò,['ccontingency.cause'],False,
0,però,"['comparison.contrast', 'comparison.concession']",False,
0,perfino,"['expansion.conjunction', 'comparison.concession']",False,
0,persino,"['expansion.conjunction', 'comparison.concession']",False,
0,pertanto,['contingency.cause'],False,
0,più che altro,[],False,
0,più tardi,['temporal.asynchronous'],False,
0,piuttosto,['expansion.substitution'],False,
0,poi,['temporal.asynchronous'],False,
0,poiché,"['contingency.cause', 'consequence']",False,
0,precedentemente,['temporal.asynchronous'],False,
0,prima,['temporal.asynchronous'],False,
0,prima di,['temporal.asynchronous'],False,
0,prima che,['temporal.asynchronous'],False,
0,purché,['contingency.condition'],False,
0,pure,"['expansion.conjunction', 'comparison.concession']",False,
0,quando,"['temporal.syncrony', 'contingency.condition', 'temporal.asynchronous']",False,
0,quantunque,['comparison.concession'],False,
0,quindi,"['contingency.cause', 'temporal.asynchronous']",False,
0,salvo che,['contingency.negative-condition'],False,
0,se,"['contingency.condition', 'consequence']",False,
0,sebbene,['comparison.concession'],False,
0,semmai,['expansion. conjunction'],False,
0,sennò,['contingency.negative-condition'],False,
0,sennonché,['comparison.concession'],False,
0,siccome,['contingency.cause'],False,
0,solamente,['comparison.concession'],False,
0,solo,['comparison.concession'],False,
0,sopra ogni altra cosa,[],False,
0,supposto che,['contingency.condition'],False,
0,tanto più che,"['expansion.conjunction', 'consequence']",False,
0,tra l'altro,[],False,
0,tra le altre cose,[],False,
0,tranne,['expansion.exception'],False,
0,tranne quando,['contingency.negative-condition'],False,
0,tuttalpiù,[],False,
0,tutt'al più,[],False,
0,tuttavia,['comparison.concession'],False,
0,tutto sommato,[],False,
0,ugualmente,['comparison.similarity'],False,
0,vale a dire,['expansion.specification'],False,
0,viceversa,"['comparison.concession', 'comparison.contrast']",False,
