,connector,relation,is_pair,counterpart
0,aber,"['comparison', 'comparison', 'comparison', 'expansion']",False,
0,abgesehen davon,"['expansion', 'expansion', 'comparison', 'comparison']",False,
0,"abgesehen davon , daß","['expansion', 'expansion']",False,
0,alldieweil,"['contingency', 'comparison', 'temporal']",False,
0,allein,['comparison'],False,
0,allenfalls,"['expansion', 'comparison']",False,
0,allerdings,"['comparison', 'comparison', 'comparison']",False,
0,als,"['temporal', 'temporal']",False,
0,als ob,"['expansion', 'comparison']",False,
0,als wenn,['expansion'],False,
0,alsdann,"['temporal', 'expansion']",False,
0,also,['contingency'],False,
0,andrerseits,"['comparison', 'expansion']",False,
0,anderenfalls,"['contingency', 'contingency']",False,
0,anders gesagt,['expansion'],False,
0,angenommen,['contingency'],False,
0,"angenommen , daß","['expansion', 'contingency']",False,
0,angesichts,"['contingency', 'temporal', 'comparison']",False,
0,angesichts dessen,['contingency'],False,
0,"angesichts dessen , daß",['contingency'],False,
0,an hand,['expansion'],False,
0,anlaeßlich,"['contingency', 'contingency', 'temporal']",False,
0,anschliessend,"['temporal', 'expansion']",False,
0,ansonsten,"['expansion', 'contingency']",False,
0,anstatt,"['expansion', 'expansion']",False,
0,anstatt daß,['expansion'],False,
0,an stelle dessen,['expansion'],False,
0,auch,['expansion'],False,
0,auf,"['contingency', 'contingency']",True,hin
0,hin,"['contingency', 'contingency']",True,auf
0,auf daß,['contingency'],False,
0,auf grund,['contingency'],False,
0,auf grund dessen,"['contingency', 'contingency']",False,
0,"aufgrunddessen, daß",['contingency'],False,
0,ausgenommen,['expansion'],False,
0,"ausgenommen, daß",['expansion'],False,
0,ausser,['expansion'],False,
0,ausser dass,['expansion'],False,
0,ausser wenn,['expansion'],False,
0,ausserdem,['expansion'],False,
0,bspw.,['expansion'],False,
0,besonders,"['expansion', 'expansion']",False,
0,bevor,['temporal'],False,
0,bzw.,"['expansion', 'expansion', 'expansion']",False,
0,bis,['temporal'],False,
0,bis daß,"['temporal', 'contingency']",False,
