,connector,relation,is_pair,counterpart
0,a causa di,['contingency'],False,
0,a condizione che,['contingency'],False,
0,a dire il vero,['comparison'],False,
0,per la verità,['comparison'],False,
0,a dispetto di,['comparison'],False,
0,a meno di,['contingency'],False,
0,a onor del vero,['comparison'],False,
0,a tal fine,['contingency'],False,
0,per esempio,['expansion'],False,
0,in ogni modo,['comparison'],False,
0,affinché,['contingency'],False,
0,al che,"['temporal', 'contingency']",False,
0,al contrario,"['comparison', 'comparison']",False,
0,al massimo,['expansion'],False,
0,al posto di,['expansion'],False,
0,alla fin fine,[],False,
0,alla fine,['temporal'],False,
0,con lo scopo di,['contingency'],False,
0,allo stesso modo,['comparison'],False,
0,allora,"['temporal', 'contingency']",False,
0,altrimenti,['contingency'],False,
0,anche,"['expansion', 'comparison']",False,
0,anche se,['comparison'],False,
0,anzi,['expansion'],False,
0,anziché,['expansion'],False,
0,benché,['comparison'],False,
0,bensì,['comparison'],False,
0,cioè,"['expansion', 'reformulation']",False,
0,ciò nondimeno,['comparison'],False,
0,ciò nonostante,['comparison'],False,
0,come,"['temporal', 'addition']",False,
0,come conseguenza,"['temporal', 'contingency']",False,
0,comunque,"['expansion', 'comparison']",False,
0,con questo,['consequence'],False,
0,con tutto questo,['comparison'],False,
0,contrariamente a,['comparison'],False,
0,contuttociò,[],False,
0,così,['contingency'],False,
0,cosicché,['contingency'],False,
0,da allora,"['temporal', 'contingency']",False,
0,da ciò,['contingency'],False,
0,da quando,['temporal'],False,
0,da ultimo,['temporal'],False,
0,da un canto,['comparison'],True,dall'altro
0,dall'altro,['comparison'],True,da un canto
0,dall'altro lato,['comparison'],True,da un lato
0,da un lato,['comparison'],True,dall'altro lato
0,dall'altra,['comparison'],True,da una parte
0,da una parte,['comparison'],True,dall'altra
0,dal momento che,['contingency'],False,
0,d'altra parte,['contrast'],False,
0,d'altro lato,[],False,
0,del resto,['contingency'],False,
0,di conseguenza,['contingency'],False,
0,di fatto,[],False,
0,in modo da,['contingency'],False,
0,dopo,['temporal'],False,
0,dopo di ciò,['temporal'],False,
0,dopotutto,[],False,
0,dunque,['contingency'],False,
0,e,"['expansion', 'temporal']",False,
0,ebbene,[],False,
0,eccetto,['expansion'],False,
0,eppure,['comparison'],False,
0,fatto sta che,[],False,
0,fin qui,['expansion'],False,
0,fino a questo punto,['expansion'],False,
0,frattanto,['temporal'],False,
0,fuorché,['expansion'],False,
0,giacché,['contingency'],False,
0,in altri termini,['expansion'],False,
